,time_s,time_l,test_score,nodes,type,upper_s,upper_l,bi_s,bi_l,tri_s,tri_l,real
147,0.27949066972360015,,0.06075889664084196,"(53, 18)",integr,-4.682565832438403,,6.179288982615947,,7.132695026119575,,
148,0.9140247349860147,,0.005291950598572648,"(56, 19)",schedu,-4.669634310584837,,6.1764168323013005,,7.1690599081501025,,
149,,0.8611125890001858,0.17480578579641923,"(59, 1)",schedu,,-4.659945817170759,,6.280040598209918,,7.161438771492642,
150,0.5708138793706894,,0.006558278976268545,"(59, 12)",schedu,-4.674868523832068,,6.290161495536469,,7.1730021726255755,,
151,,,0.058071633953334756,"(60, 20)",integr,,,,,,,
152,1.0359483771026134,,0.0005771467319739815,"(60, 28)",schedu,-4.68084406388434,,6.0708261910237535,,7.025000923276489,,
153,0.6186976349999895,,0.06446871202798718,"(60, 34)",integr,-4.664871673452394,,6.036141431147193,,6.944820962340884,,
154,1.1632305399998586,,0.04785103386325598,"(60, 35)",integr,-4.669097534787622,,5.945859424686463,,7.022724482066987,,
155,0.3266988269999729,,0.060643337832723826,"(61, 2)",integr,-4.6241497545755115,,6.342094644001587,,7.220889112454859,,
156,0.6572268029999577,,0.004179616919264908,"(61, 20)",schedu,-4.704166268353288,,6.05785911920689,,7.014951585732836,,
157,1.6818893887102604,,0.006429914987678083,"(61, 29)",schedu,-4.655804167379153,,6.239870145267263,,7.105240663863279,,
158,,,0.059057855765011345,"(61, 34)",integr,,,,,,,
159,2.8794496916234493,,0.0043559320765720775,"(63, 28)",schedu,-4.689509107993609,,5.95551401199848,,6.860147290557696,,
160,0.46135240599960525,,0.0033980686802432603,"(64, 8)",schedu,-4.665001858583047,,6.2037703418265995,,7.162182812752005,,
161,1.0954823350002698,,0.10643335076961269,"(64, 38)",schedu,-4.6521373650017415,,6.276186039883437,,7.159582744618643,,
162,0.4959182646125555,,0.06023057157963178,"(65, 20)",integr,-4.589285890698208,,6.2271674605389515,,7.194006041770186,,
163,0.4039979516528547,,0.059433414871069415,"(68, 4)",integr,-4.646394692426768,,6.240321341521934,,7.17153619867143,,
164,2.4430163699998957,,0.44851313323834224,"(72, 26)",schedu,-4.690249701951788,,15.102277247778865,,7.146536900694312,,
165,0.8282934725284576,,0.10420477747764326,"(72, 28)",schedu,-4.651792681428143,,6.251789753560513,,7.181793236082259,,
166,0.5545545518398285,,0.005879666745241363,"(73, 28)",schedu,-4.687225911345158,,6.158881859086305,,7.088183189744503,,
167,,,0.0338025765540557,"(74, 8)",integr,,,,,,,
168,0.582283601999734,,0.05855287223221538,"(77, 16)",integr,-4.678588437765814,,6.216613163314561,,7.083077964087237,,
169,2.016415836988017,7202.366739499,0.01647491060499399,"(78, 40)",schedu,-4.699483411676409,-4.606723553613888,5.991396306557788,6.371582348011553,6.943721988451825,7.359603855304789,10.991411542797874
170,0.40455425903201103,,0.061743126253617386,"(79, 16)",integr,-4.645642635875117,,6.4124314258679185,,7.191372084915508,,
171,1.7887805593200028,,0.04830142843140812,"(79, 19)",integr,-4.621292449358376,,6.167250305097418,,7.19258756941031,,
172,1.6549331460846588,,0.0019902385363913433,"(79, 40)",schedu,-4.655706391992799,,6.195064072389439,,7.226946624244716,,
173,3.3686811490915716,7212.328602026915,0.05795439804325165,"(79, 40)",integr,-4.697144746635817,-4.308744007179859,15.001034452269598,69.38924797459657,7.259009058773179,76.14239311868157,
174,0.40693950513377786,,0.02414544859787032,"(80, 1)",integr,-4.637908729244438,,6.380092160470221,,7.31178639448661,,
175,1.0658539650030434,,0.059547399492804944,"(80, 4)",integr,-4.65989902674662,,6.064654391881756,,6.999891038448222,,
176,0.2676396849565208,,0.06243014452528013,"(80, 6)",integr,-4.6650542401748725,,6.087620651913445,,7.015372695871267,,
177,0.423195559065789,,0.032671822744591295,"(80, 8)",integr,-4.657086516217263,,6.234916251825895,,7.102482731062561,,
178,0.4260237538255751,,0.05763229807110578,"(80, 11)",integr,-4.681155795177983,,6.061620393069757,,7.027530929491667,,
179,0.5060234372504056,,0.027405785490554512,"(80, 13)",integr,-4.676853632635697,,6.278389206202783,,7.181185109026104,,
180,1.5456822030246258,,0.05035729784850614,"(80, 14)",integr,-4.609162421420261,,6.173865994217731,,7.078749714584268,,
181,0.676159611903131,,0.059367987183030095,"(80, 16)",integr,-4.68262524226745,,5.969083200171741,,6.886668660487517,,
182,2.105823036748916,,0.04699919602176589,"(80, 18)",integr,-4.626737670236946,,6.041571477412604,,6.965646323194623,,
183,0.8900614227168262,,0.03852915266730103,"(80, 19)",integr,-4.688828116893912,,5.945830379683859,,6.904527445072424,,
184,0.7992175710387528,,0.061722159639380686,"(80, 20)",integr,-4.669666927540239,,6.055035345623115,,6.861336812470951,,
185,0.6466568908654153,,0.057428619387764855,"(80, 21)",integr,-4.617392009130506,,6.200204818859678,,7.174778834456293,,
186,0.6466568908654153,,0.057428619387764855,"(80, 40)",integr,-4.617392009130506,,6.200204818859678,,7.174778834456293,,
